
11:44; temperature; -8
11:44; wind_speed; 5
11:44; pressure; 737
11:44; temperature; -16
11:44; wind_speed; 2
11:44; pressure; 735
11:44; temperature; -12
11:44; wind_speed; 14
11:44; pressure; 750
11:44; temperature; -4
11:44; wind_speed; 10
11:44; pressure; 748
11:44; temperature; -11
11:44; wind_speed; 15
11:44; pressure; 742
11:44; temperature; -8
11:44; wind_speed; 1
11:44; pressure; 732
11:44; temperature; -4
11:44; wind_speed; 22
11:44; pressure; 744
11:44; temperature; -1
11:44; wind_speed; 8
11:44; pressure; 720
11:44; temperature; -2
11:44; wind_speed; 4
11:44; pressure; 728
11:44; temperature; -16
11:44; wind_speed; 26
11:44; pressure; 724
11:44; temperature; -10
11:44; wind_speed; 10
11:44; pressure; 721
11:44; temperature; -17
11:44; wind_speed; 19
11:44; pressure; 737
11:44; temperature; -20
11:44; wind_speed; 18
11:44; pressure; 722
11:46; temperature; -11
11:46; wind_speed; 30
11:46; pressure; 733
11:46; temperature; -18
11:46; wind_speed; 24
11:46; pressure; 738
11:46; temperature; 0
11:46; wind_speed; 8
11:46; pressure; 730
11:46; temperature; -6
11:46; wind_speed; 21
11:46; pressure; 733
11:46; temperature; -7
11:46; wind_speed; 9
11:46; pressure; 739
11:46; temperature; -15
11:46; wind_speed; 17
11:46; pressure; 720
11:46; temperature; -5
11:46; wind_speed; 5
11:46; pressure; 737
11:52; temperature; -3
11:52; wind_speed; 18
11:52; pressure; 734
11:52; temperature; -2
11:52; wind_speed; 12
11:52; pressure; 728
